# Written by tools/mid_to_song.py. One strike per line: tick volume midi.
# Source: only my railgun (Full ver.).mid
# 4445 strikes over 4903 ticks, at most 6 a tick.
length 4903
1502 0.90 63
1502 0.85 70
1502 0.85 82
1503 0.90 58
1505 0.89 54
1506 0.86 51
1506 0.76 66
1506 0.76 78
1508 0.81 46
1509 0.79 42
1510 0.80 32
1510 0.80 44
1510 0.77 66
1510 0.77 73
1510 0.77 78
1515 0.80 44
1515 0.88 68
1515 0.88 80
1517 0.83 47
1517 0.85 68
1517 0.85 71
1517 0.85 80
1519 0.88 51
1521 0.82 47
1523 0.90 51
1523 0.90 56
1523 0.78 66
1523 0.78 78
1527 0.76 44
1527 0.79 66
1527 0.79 73
1527 0.79 78
1529 0.79 47
1531 0.86 51
1531 0.88 68
1531 0.88 80
1534 0.79 47
1534 0.86 68
1534 0.86 71
1534 0.86 80
1536 0.90 51
1536 0.90 56
1540 0.74 32
1540 0.74 44
1540 0.79 66
1540 0.79 78
1544 0.74 28
1544 0.74 40
1544 0.79 66
1544 0.79 71
1544 0.79 78
1548 0.74 40
1548 0.89 68
1548 0.89 80
1550 0.78 44
1550 0.87 68
1550 0.87 71
1550 0.87 80
1552 0.90 47
1552 0.90 52
1557 0.90 52
1557 0.90 56
1557 0.83 68
1557 0.83 80
1561 0.74 40
1561 0.83 68
1561 0.83 71
1561 0.83 80
1563 0.76 44
1565 0.81 47
1565 0.86 70
1565 0.86 82
1569 0.90 52
1569 0.90 56
1569 0.88 71
1569 0.88 83
1573 0.74 28
1573 0.74 40
1573 0.89 73
1573 0.89 85
1578 0.75 30
1578 0.75 42
1578 0.82 70
1578 0.82 73
1578 0.82 78
1578 0.82 82
1580 0.73 37
1582 0.77 42
1584 0.83 46
1586 0.90 49
1586 0.90 54
1586 0.74 66
1586 0.74 70
1586 0.74 73
1586 0.74 78
1590 0.90 54
1590 0.90 58
1594 0.74 30
1594 0.74 42
1594 0.90 78
1594 0.90 82
1594 0.90 85
1594 0.90 88
1597 0.73 37
1599 0.75 42
1601 0.81 46
1603 0.90 49
1603 0.90 54
1603 0.83 73
1603 0.83 78
1603 0.83 82
1603 0.83 85
1607 0.84 46
1607 0.84 49
1611 0.79 35
1611 0.79 47
1611 0.82 75
1611 0.82 78
1611 0.82 82
1611 0.82 85
1613 0.74 42
1615 0.81 47
1617 0.88 51
1617 0.82 75
1617 0.82 78
1617 0.82 82
1617 0.82 85
1620 0.90 54
1620 0.90 59
1624 0.89 51
1624 0.89 54
1624 0.84 75
1624 0.84 78
1624 0.84 83
1624 0.84 87
1628 0.79 34
1628 0.79 46
1630 0.74 42
1632 0.78 71
1632 0.78 83
1634 0.83 46
1636 0.90 49
1636 0.90 54
1636 0.77 70
1636 0.77 82
1641 0.74 30
1641 0.74 42
1641 0.73 66
1641 0.73 78
1645 0.76 32
1645 0.76 44
1645 0.74 66
1645 0.74 73
1645 0.74 78
1649 0.77 44
1649 0.85 68
1649 0.85 80
1651 0.81 47
1651 0.82 68
1651 0.82 71
1651 0.82 80
1653 0.89 51
1655 0.81 47
1657 0.90 51
1657 0.90 56
1657 0.76 66
1657 0.76 78
1662 0.75 44
1662 0.77 66
1662 0.77 73
1662 0.77 78
1664 0.79 47
1666 0.88 51
1666 0.88 68
1666 0.88 80
1668 0.79 47
1668 0.86 68
1668 0.86 71
1668 0.86 80
1670 0.90 51
1670 0.90 56
1674 0.74 32
1674 0.74 44
1674 0.79 66
1674 0.79 78
1678 0.73 28
1678 0.73 40
1678 0.79 66
1678 0.79 71
1678 0.79 78
1683 0.74 40
1683 0.89 68
1683 0.89 80
1685 0.78 44
1685 0.87 68
1685 0.87 71
1685 0.87 80
1687 0.90 47
1687 0.90 52
1691 0.74 40
1691 0.83 68
1691 0.83 80
1695 0.74 39
1695 0.83 68
1695 0.83 75
1695 0.83 80
1697 0.78 42
